gid_0,gid_1,name_0,name_1,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
WSM,WSM.9_1,Samoa,Tuamasaga,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
WSM,WSM.9_1,Samoa,Tuamasaga,bws,Liv,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
BHS,BHS.10_1,Bahamas,Crooked Island,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.11_1,Bahamas,East Grand Bahama,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.12_1,Bahamas,Exuma,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.12_1,Bahamas,Exuma,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.13_1,Bahamas,Grand Cay,bws,Tot,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.13_1,Bahamas,Grand Cay,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.13_1,Bahamas,Grand Cay,bws,Ind,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.13_1,Bahamas,Grand Cay,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.13_1,Bahamas,Grand Cay,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.14_1,Bahamas,Harbour Island,bws,Tot,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.14_1,Bahamas,Harbour Island,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.14_1,Bahamas,Harbour Island,bws,Ind,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.14_1,Bahamas,Harbour Island,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.14_1,Bahamas,Harbour Island,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.15_1,Bahamas,Hope Town,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.16_1,Bahamas,Inagua,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.17_1,Bahamas,Long Island,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.18_1,Bahamas,Mangrove Cay,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.19_1,Bahamas,Mayaguana,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.20_1,Bahamas,Moore's Island,bws,Tot,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.20_1,Bahamas,Moore's Island,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.20_1,Bahamas,Moore's Island,bws,Ind,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.20_1,Bahamas,Moore's Island,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.20_1,Bahamas,Moore's Island,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.21_1,Bahamas,New Providence,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.21_1,Bahamas,New Providence,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.22_1,Bahamas,North Abaco,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.23_1,Bahamas,North Andros,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.24_1,Bahamas,North Eleuthera,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.24_1,Bahamas,North Eleuthera,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.24_1,Bahamas,North Eleuthera,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.25_1,Bahamas,Ragged Island,bws,Tot,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.25_1,Bahamas,Ragged Island,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.25_1,Bahamas,Ragged Island,bws,Ind,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.25_1,Bahamas,Ragged Island,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.25_1,Bahamas,Ragged Island,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.26_1,Bahamas,Rum Cay,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.26_1,Bahamas,Rum Cay,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.27_1,Bahamas,San Salvador,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.27_1,Bahamas,San Salvador,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.28_1,Bahamas,South Abaco,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.29_1,Bahamas,South Andros,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.30_1,Bahamas,South Eleuthera,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.31_1,Bahamas,Spanish Wells,bws,Tot,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.31_1,Bahamas,Spanish Wells,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.31_1,Bahamas,Spanish Wells,bws,Ind,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.31_1,Bahamas,Spanish Wells,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.31_1,Bahamas,Spanish Wells,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BHS,BHS.32_1,Bahamas,West Grand Bahama,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BRB,BRB.10_1,Barbados,Saint Philip,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BRB,BRB.10_1,Barbados,Saint Philip,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BRB,BRB.11_1,Barbados,Saint Thomas,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BRB,BRB.11_1,Barbados,Saint Thomas,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
BWA,BWA.10_1,Botswana,Lobatse,bws,Irr,-9999,-9999,-9999,NoData,Africa,Sub-Saharan Africa
BWA,BWA.16_1,Botswana,Sowa,bws,Irr,-9999,-9999,-9999,NoData,Africa,Sub-Saharan Africa
COL,COL.26_1,Colombia,San Andr̩s y Providencia,bws,Tot,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
COL,COL.26_1,Colombia,San Andr̩s y Providencia,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
COL,COL.26_1,Colombia,San Andr̩s y Providencia,bws,Ind,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
